Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1024
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1024
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	768
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	512
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	256
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	128
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	64
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	32
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	16
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	8
